I,II,V1,V2,V3,V4,V5,V6,III,aVR,aVL,aVF
117,58,-117,-78,-39,-244,-136,9,-59,-87,88,0
117,58,-117,-78,-39,-244,-136,9,-59,-87,88,0
117,58,-117,-78,-39,-244,-136,9,-59,-87,88,0
117,58,-117,-78,-39,-244,-136,9,-59,-87,88,0
126,78,-112,-63,-29,-234,-126,29,-48,-102,87,15
126,87,-107,-58,-19,-224,-117,39,-39,-106,82,24
126,97,-102,-53,-9,-214,-107,48,-29,-111,77,34
126,107,-97,-48,0,-204,-97,58,-19,-116,72,44
112,87,-97,-58,-9,-214,-107,58,-25,-99,68,31
107,78,-97,-58,-9,-214,-107,58,-29,-92,68,24
102,68,-97,-58,-9,-214,-107,58,-34,-85,68,17
97,58,-97,-58,-9,-214,-107,58,-39,-77,68,9
92,53,-107,-73,-29,-234,-126,43,-39,-72,65,7
87,48,-117,-78,-39,-244,-136,29,-39,-67,63,4
82,43,-126,-82,-48,-253,-146,14,-39,-62,60,2
78,39,-136,-87,-58,-263,-156,0,-39,-58,58,0
97,53,-126,-78,-39,-244,-146,9,-44,-75,70,4
107,68,-117,-68,-29,-234,-136,19,-39,-87,73,14
117,82,-107,-58,-19,-224,-126,29,-35,-99,76,23
126,97,-97,-48,-9,-214,-117,39,-29,-111,77,34
136,92,-112,-53,-24,-224,-131,29,-44,-114,90,24
136,87,-117,-58,-29,-234,-136,19,-49,-111,92,19
136,82,-122,-63,-34,-244,-141,9,-54,-109,95,14
136,78,-126,-68,-39,-253,-146,0,-58,-107,97,10
122,53,-117,-63,-29,-253,-156,0,-69,-87,95,-8
117,39,-117,-58,-29,-253,-156,0,-78,-78,97,-19
112,24,-117,-53,-29,-253,-156,0,-88,-68,100,-32
107,9,-117,-48,-29,-253,-156,0,-98,-58,102,-44
117,4,-112,-53,-34,-253,-146,9,-113,-60,115,-54
117,0,-107,-58,-39,-253,-146,9,-117,-58,117,-58
117,-4,-102,-63,-43,-253,-146,9,-121,-56,119,-62
117,-9,-97,-68,-48,-253,-146,9,-126,-54,121,-67
136,9,-97,-58,-48,-263,-156,4,-127,-72,131,-59
146,29,-97,-58,-48,-263,-156,0,-117,-87,131,-44
156,48,-97,-58,-48,-263,-156,-4,-108,-102,132,-30
165,68,-97,-58,-48,-263,-156,-9,-97,-116,131,-14
146,48,-102,-68,-58,-263,-165,-9,-98,-97,122,-25
126,39,-107,-68,-58,-263,-165,-9,-87,-82,106,-24
107,29,-112,-68,-58,-263,-165,-9,-78,-68,92,-24
87,19,-117,-68,-58,-263,-165,-9,-68,-53,77,-24
87,9,-117,-78,-73,-263,-175,-19,-78,-48,82,-34
87,0,-117,-78,-78,-263,-175,-19,-87,-43,87,-43
87,-9,-117,-78,-82,-263,-175,-19,-96,-39,91,-52
87,-19,-117,-78,-87,-263,-175,-19,-106,-34,96,-62
87,9,-107,-63,-73,-258,-180,-29,-78,-48,82,-34
87,29,-97,-58,-68,-253,-185,-29,-58,-58,72,-14
87,48,-87,-53,-63,-248,-190,-29,-39,-67,63,4
87,68,-78,-48,-58,-244,-195,-29,-19,-77,53,24
102,82,-82,-43,-48,-229,-175,-14,-20,-92,61,31
107,87,-87,-39,-48,-224,-165,-9,-20,-97,63,33
112,92,-92,-34,-48,-219,-156,-4,-20,-102,66,36
117,97,-97,-29,-48,-214,-146,0,-20,-107,68,38
92,78,-97,-43,-53,-224,-146,4,-14,-85,53,32
78,58,-97,-48,-58,-224,-146,9,-20,-68,49,19
63,39,-97,-53,-63,-224,-146,14,-24,-51,43,7
48,19,-97,-58,-68,-224,-146,19,-29,-33,38,-5
58,29,-82,-48,-53,-214,-131,24,-29,-43,43,0
58,39,-78,-39,-48,-204,-126,29,-19,-48,38,10
